"Year","Month","Product_ID","Country","monthly_sales"
2013,1,1,"Argentina",34346025
2013,1,1,"Columbia",3947356.31
2013,1,2,"Argentina",2751851.48
2013,1,2,"Belgium",314850.13
2013,1,2,"Columbia",2885137.06
2013,1,2,"Denmark",101847627.11
2013,1,4,"England",166907.57
2013,1,4,"Finland",15153419.52
2013,1,5,"England",462370.62
2013,2,1,"Argentina",32005575
2013,2,1,"Columbia",4074073.2
2013,2,2,"Argentina",2804313.12
2013,2,2,"Belgium",435185.52
2013,2,2,"Columbia",2481817.06
2013,2,2,"Denmark",84457811.39
2013,2,4,"England",140685.22
2013,2,4,"Finland",16524812.16
2013,2,5,"England",414931.16
2013,3,1,"Argentina",32530050
2013,3,1,"Columbia",4189422.98
2013,3,2,"Argentina",2573004.98
2013,3,2,"Belgium",268694.09
2013,3,2,"Columbia",2821691.18
2013,3,2,"Denmark",89156080.59
2013,3,4,"England",159316.9
2013,3,4,"Finland",28217082.24
2013,3,5,"England",439883.54
2013,4,1,"Argentina",35588700
2013,4,1,"Columbia",4229307.08
2013,4,2,"Argentina",3436237.42
2013,4,2,"Belgium",461560.4
2013,4,2,"Columbia",3149451.18
2013,4,2,"Denmark",99166393.86
2013,4,4,"England",179295.95
2013,4,4,"Finland",22522665.6
2013,4,5,"England",505948.04
2013,5,1,"Argentina",38789100
2013,5,1,"Columbia",4452229.12
2013,5,2,"Argentina",3772468.84
2013,5,2,"Belgium",464857.26
2013,5,2,"Columbia",3389234.12
2013,5,2,"Denmark",106042169.94
2013,5,4,"England",175741.65
2013,5,4,"Finland",32942280.96
2013,5,5,"England",491075.38
2013,6,1,"Argentina",36196650
2013,6,1,"Columbia",3873948.16
2013,6,2,"Argentina",3712853.34
2013,6,2,"Belgium",403865.35
2013,6,2,"Columbia",3242034.12
2013,6,2,"Denmark",87189457.29
2013,6,4,"England",220876.69
2013,6,4,"Finland",19155934.08
2013,6,5,"England",552209.82
2013,7,1,"Argentina",37133775
2013,7,1,"Columbia",4214367.52
2013,7,2,"Argentina",3791545.8
2013,7,2,"Belgium",669262.58
2013,7,2,"Columbia",4125885.3
2013,7,2,"Denmark",116561149.95
2013,7,4,"England",141593.55
2013,7,4,"Finland",27180092.16
2013,7,5,"England",470790.42
2013,8,1,"Argentina",35311500
2013,8,1,"Columbia",2928228.91
2013,8,2,"Argentina",3698545.62
2013,8,2,"Belgium",478044.7
